sensordata,time,e135,e140,e142,e161,e165,e167,e181,e235,e240,e242,e261,e265,e267,e281,e335,e340,esh141a,esh144a,esh160a,esh170,esh171,esh172,esh173,esh174,esh175,esh183,esh184,esh241a,esh244a,esh260a,esh270,esh271,esh272,esh273,esh274,esh275,esh283,esh284,esh341a,esh344a,ft520,ft525,ish136,ish162,ish166,ish180,ish236,ish262,ish266,ish280,ish336,it140,it161,it167,it181,it240,it261,it267,it281,it340,lt500,lt505,st165,st265,st515,st516,te128,te129,te133,te228,te229,te328,te329,te500,te501,te502,te505,te506,te507,te510,te511
AntagonistData,2007-07-31 14:44:03.451 GMT-07:00,25.8310833,25.84573174,0.029297322,0.014648661,0.073243305,0.073243305,0,25.27443314,25.28908157,0.029297322,0.058594644,0.219729915,0.219729915,0.073243305,24.23437881,24.23437881,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,true,true,true,true,true,true,true,true,true,0.048471568,0.079752365,0.000388,0.012117892,-0.061011221,-0.014090026,-0.003522506,0.000388,-0.045370823,-23.10769228,14.92595104,0.219729915,0.439459831,false,false,71.86038208,69.87045288,70.30304718,70.96635437,72.23529053,71.9180603,71.08171082,66.66925812,69.72624969,67.76516724,67.21720886,67.5056076,67.33257294,69.61089325,66.49622345
AntagonistData,2007-07-31 14:44:03.951 GMT-07:00,25.84573174,25.81643486,0,0.014648661,0.073243305,0.073243305,0,25.27443314,25.27443314,0.0,0.058594644,0.219729915,0.219729915,0.073243305,24.24902725,24.23437881,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,true,true,true,true,true,true,true,true,true,0.048471568,0.079752365,0.000388,0.012117892,-0.076653075,-0.014090026,0.000388,0.000388,-0.045370823,-23.15582581,15.00748872,0.219729915,0.439459831,false,false,71.9180603,69.89929199,70.30304718,70.93751526,72.23529053,71.9180603,71.08171082,66.64041901,69.72624969,67.76516724,67.21720886,67.67864227,67.24604797,69.61089325,66.49622345
AntagonistData,2007-07-31 14:44:04.451 GMT-07:00,25.8310833,25.8310833,0,0.014648661,0.073243305,0.073243305,0.014648661,25.27443314,25.28908157,0.029297322,0.058594644,0.219729915,0.219729915,0.073243305,24.23437881,24.21973038,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,true,true,true,true,true,true,true,true,true,0.064111967,0.079752365,-0.003522506,0.012117892,-0.045370823,-0.014090026,0.008207792,0.000388,-0.045370823,-23.34862296,14.82994701,0.219729915,0.439459831,false,false,71.9180603,69.89929199,70.30304718,70.93751526,72.1776123,71.9180603,71.0528717,66.64041901,69.69741058,67.76516724,67.18836975,67.67864227,67.24604797,69.66857147,66.75578308
AntagonistData,2007-07-31 14:44:04.951 GMT-07:00,25.8310833,25.84573174,0,0.014648661,0.073243305,0.14648661,0,25.2597847,25.27443314,0.0,0.058594644,0.219729915,0.14648661,0.058594644,24.24902725,24.23437881,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,true,true,true,true,true,true,true,true,true,0.064111967,0.095392764,0.000388,0.012117892,-0.045370823,-0.014090026,-0.003522506,0.000388,-0.045370823,-23.24078281,14.74985597,0.219729915,0.439459831,false,false,71.88922119,69.89929199,70.30304718,70.93751526,72.1776123,71.9180603,71.0528717,66.64041901,69.69741058,67.76516724,67.18836975,67.59212494,67.41909027,69.66857147,66.75578308
AntagonistData,2007-07-31 14:44:05.451 GMT-07:00,25.8310833,25.8310833,0.029297322,0.014648661,0.073243305,0.14648661,0,25.27443314,25.28908157,0.029297322,0.073243305,0.219729915,0.219729915,0.058594644,24.23437881,24.23437881,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,true,true,true,true,true,true,true,true,true,0.048471568,0.079752365,0.000388,0.012117892,-0.076653075,-0.014090026,0.008207792,0.000388,-0.045370823,-23.53852683,14.61282007,0.219729915,0.439459831,false,false,71.88922119,69.89929199,70.30304718,70.93751526,72.20645142,71.88922119,71.08171082,66.6115799,69.66857147,67.79400635,67.18836975,67.59212494,67.41909027,69.72624969,66.75578308
AntagonistData,2007-07-31 14:44:05.951 GMT-07:00,25.8310833,25.84573174,0.014648661,0.014648661,0.073243305,0.073243305,0.014648661,25.27443314,25.28908157,0.029297322,0.058594644,0.29297322,0.219729915,0.058594644,24.23437881,24.21973038,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,true,true,true,true,true,true,true,true,true,0.048471568,0.079752365,0.000388,0.016027992,-0.061011221,-0.014090026,0.000388,0.000388,-0.045370823,-22.90660985,15.8316768,0.219729915,0.219729915,false,false,71.9180603,69.89929199,70.33188629,70.93751526,72.20645142,71.88922119,71.08171082,66.6115799,69.66857147,67.79400635,67.21720886,67.67864227,67.24604797,69.72624969,66.49622345
AntagonistData,2007-07-31 14:44:06.451 GMT-07:00,25.8310833,25.84573174,0.014648661,0.014648661,0.073243305,0.14648661,0,25.27443314,25.28908157,0.029297322,0.058594644,0.219729915,0.14648661,0.058594644,24.24902725,24.23437881,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,true,true,true,true,true,true,true,true,true,0.064111967,0.079752365,0.000388,0.012117892,-0.045370823,-0.014090026,0.000388,0.000388,-0.045370823,-21.05899242,18.10868215,0.219729915,0.439459831,false,false,71.9180603,69.89929199,70.33188629,70.93751526,72.20645142,71.86038208,71.0528717,66.64041901,69.69741058,67.82284546,67.21720886,67.67864227,67.24604797,69.63973236,66.49622345
AntagonistData,2007-07-31 14:44:06.951 GMT-07:00,25.84573174,25.84573174,0,0.014648661,0.073243305,0.073243305,0.014648661,25.27443314,25.27443314,0.0,0.058594644,0.219729915,0.219729915,0.058594644,24.24902725,24.21973038,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,true,true,true,true,true,true,true,true,true,0.064111967,0.079752365,0.000388,0.012117892,-0.061011221,-0.014090026,0.000388,-0.003522506,-0.045370823,-21.4411674,17.1744182,0.219729915,0.439459831,false,false,71.9180603,69.87045288,70.30304718,70.93751526,72.20645142,71.86038208,71.0528717,66.64041901,69.69741058,67.82284546,67.15953064,67.59212494,67.24604797,69.63973236,66.46738434
AntagonistData,2007-07-31 14:44:07.451 GMT-07:00,25.8310833,25.8310833,0,0.014648661,0.073243305,0.073243305,0,25.2597847,25.27443314,0.0,0.043945983,0.219729915,0.14648661,0.058594644,24.26367569,24.23437881,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,true,true,true,true,true,true,true,true,true,0.064111967,0.079752365,0.000388,0.012117892,-0.061011221,-0.014090026,0.008207792,0.000388,-0.045370823,-21.80637728,17.48899582,0.0,0.439459831,false,false,71.9180603,69.87045288,70.30304718,70.96635437,72.20645142,71.9180603,71.0528717,66.66925812,69.66857147,67.76516724,67.15953064,67.59212494,67.24604797,69.63973236,66.46738434
AntagonistData,2007-07-31 14:44:07.951 GMT-07:00,25.84573174,25.8310833,0,0.014648661,0.073243305,0.073243305,0,25.2597847,25.28908157,0.029297322,0.058594644,0.219729915,0.219729915,0.058594644,24.24902725,24.23437881,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,true,true,true,true,true,true,true,true,true,0.03283117,0.079752365,0.008207792,0.012117892,-0.076653075,-0.014090026,-0.003522506,0.000388,-0.045370823,-21.6037167,17.83579396,0.0,0.439459831,false,false,71.88922119,69.9281311,70.30304718,70.96635437,72.20645142,71.9180603,71.0528717,66.66925812,69.66857147,67.76516724,67.21720886,67.85168457,67.39025116,69.66857147,66.1789856
